Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Custom field (Actual end),Custom field (Actual result),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test level),Custom field (Test steps),Custom field (Testcase result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
RG13 -Email - Email ID must not be blank,N7-13,10234,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,Done,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:44 AM,05/Jan/23 1:38 PM,22/Mar/23 10:42 PM,05/Jan/23 9:31 AM,,0,Register,"Test Data:

Email: (none)",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,Email ID must not be blank,,,,,0|i000vj:,,BAN Sprint 1,,,,,,,,unit,skip field email,Fail,,,To Do
RG12-Email- Email ID is not valid,N7-12,10233,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:37 AM,05/Jan/23 2:17 PM,22/Mar/23 10:42 PM,,,0,Register,"Test Data: 

Email: trang^@gmail.com",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,Email ID is not valid,,,,,0|i000vb:,,,,,,,,,,unit,enter email invalid field ,Pass,,,To Do
RG11- LastName- LastName can't have special characters,N7-11,10232,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:34 AM,05/Jan/23 2:17 PM,22/Mar/23 10:42 PM,,,0,Register,"Test Data:

Last Name: #",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,Last name can't have special characters,,,,,0|i000v3:,,BAN Sprint 1,,,,,,,,unit,enter special characters field LastName,Fail,,,To Do
RG10 -FirstName- FirstName can't have special characters ,N7-10,10231,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:32 AM,05/Jan/23 2:17 PM,05/Jan/23 1:54 PM,,,0,Register,"Test Data: 

Họ: #",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,FirstName can't have special characters ,,,,,0|i000uv:,,,,,,,,,,unit,enter special characters field firstname,Fail,,,To Do
RG09 - FirstName - number are not allowed,N7-9,10230,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:30 AM,05/Jan/23 2:17 PM,05/Jan/23 1:54 PM,,,0,Register,"Test Data

Họ: 1",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,First character cannot have space,,,,,0|i000un:,,BAN Sprint 1,,,,,,,,unit,Enter field number first name,Fail,,,To Do
RG08- FirstName - First character cannot have space,N7-8,10229,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:29 AM,05/Jan/23 2:16 PM,05/Jan/23 1:54 PM,,,0,Register,"Test Data

Họ:  ",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,First character cannot have space,,,,,0|i000uf:,,BAN Sprint 1,,,,,,,,unit,enter space,Fail,,,To Do
RG07- LastName-First character cannot have space,N7-7,10228,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:26 AM,05/Jan/23 2:16 PM,05/Jan/23 10:55 AM,,,0,Register,"Test Data

Tên:  ",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,First character cannot have space,,,,,0|i000u7:,,BAN Sprint 1,,,,,,,,unit,enter space,Fail,,,To Do
RG06- LastName-Number are not allowed,N7-6,10227,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:22 AM,05/Jan/23 2:15 PM,05/Jan/23 10:54 AM,,,0,Register,"Test data:

Last Name: 1",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,The first character is not number,,,,,0|i000tz:,,BAN Sprint 1,,,,,,,,unit,1) enter field number LastName,Fail,,,To Do
RG05 - LastName - LastName can't have special characters,N7-5,10226,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:20 AM,05/Jan/23 2:16 PM,05/Jan/23 10:54 AM,,,0,Register,"Test Data:

Tên: #",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,LastName can't have special characters,,,,,0|i000tr:,,BAN Sprint 1,,,,,,,,unit,"enter all require, enter number field last name",Fail,,,To Do
RG04 - Password - Password cannot be blank,N7-4,10225,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,Done,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:10 AM,05/Jan/23 2:14 PM,05/Jan/23 10:50 AM,05/Jan/23 1:25 PM,,0,Register,"Test Data: 

Mật khẩu: (none)",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,Password cannot be left blank,,,,,0|i000tj:,,BAN Sprint 1,,,,,,,,unit,skip field Password,Fail,,,To Do
RG03 - Email - First character can't have space,N7-3,10224,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:06 AM,05/Jan/23 2:14 PM,05/Jan/23 10:49 AM,,,0,Register,"Test Data:

Email: ",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,First character can't have space,,,,,0|i000tb:,,BAN Sprint 1,,,,,,,,,1) enter space,Fail,,,To Do
RG02  - FirstName - first name must not be blank,N7-2,10223,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 8:03 AM,05/Jan/23 2:13 PM,05/Jan/23 10:49 AM,,,0,Register,"Test Data

Họ:  (none)",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,fristname must not be blank,,,,,0|i000t3:,,BAN Sprint 1,,,,,,,,unit,1) skip field firstName,Fail,,,To Do
RG01- LastName - LastName must not be blank,N7-1,10222,Bug,Open,N7,Nhom_7,software,Hùng Nguyễn,628ecc63f2ee4a0069e06403,,Medium,,,,Huyền Trang Hà,639136b1213a315af34b92d0,Huyền Trang Hà,639136b1213a315af34b92d0,05/Jan/23 7:57 AM,05/Jan/23 2:13 PM,05/Jan/23 10:49 AM,,,0,Register,"Test Data:

Tên: (none)",,Huyền Trang Hà,639136b1213a315af34b92d0,,,,,,,,,,,,value valid,,,,,,,,,N7-37,Register,,,Lastname must not be blank,,,,,0|i000sv:,,BAN Sprint 1,,,,,,,,unit,skip field LastName,Fail,,,To Do
